file	sub	difficulty_mask	alignment	status	last_pc	opcode	executed	requests_before_stop
ecldata1.ecl	6	1	0	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	1	32	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	1	64	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	2	0	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	2	32	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	2	64	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	4	0	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	4	32	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	4	64	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	8	0	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	8	32	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	8	64	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	15	0	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	15	32	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	6	15	64	REQUIRES_CONTEXT	3304	25	2	0
ecldata1.ecl	7	1	0	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	1	32	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	1	64	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	2	0	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	2	32	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	2	64	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	4	0	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	4	32	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	4	64	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	8	0	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	8	32	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	8	64	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	15	0	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	15	32	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	7	15	64	REQUIRES_CONTEXT	3428	25	2	0
ecldata1.ecl	8	1	0	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	1	32	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	1	64	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	2	0	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	2	32	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	2	64	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	4	0	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	4	32	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	4	64	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	8	0	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	8	32	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	8	64	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	15	0	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	15	32	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	8	15	64	REQUIRES_CONTEXT	3596	25	2	0
ecldata1.ecl	9	1	0	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	1	32	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	1	64	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	2	0	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	2	32	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	2	64	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	4	0	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	4	32	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	4	64	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	8	0	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	8	32	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	8	64	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	15	0	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	15	32	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	9	15	64	REQUIRES_CONTEXT	3808	25	2	0
ecldata1.ecl	10	1	0	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	1	32	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	1	64	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	2	0	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	2	32	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	2	64	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	4	0	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	4	32	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	4	64	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	8	0	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	8	32	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	8	64	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	15	0	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	15	32	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	10	15	64	UNSUPPORTED	4096	54	1	0
ecldata1.ecl	11	1	0	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	1	32	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	1	64	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	2	0	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	2	32	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	2	64	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	4	0	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	4	32	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	4	64	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	8	0	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	8	32	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	8	64	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	15	0	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	15	32	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	11	15	64	UNSUPPORTED	4320	55	1	0
ecldata1.ecl	12	1	0	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	1	32	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	1	64	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	2	0	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	2	32	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	2	64	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	4	0	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	4	32	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	4	64	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	8	0	UNSUPPORTED	4820	54	1	0
ecldata1.ecl	12	8	32	UNSUPPORTED	4820	54	1	0
