sub	mask	status	tick	commands	requested_bullets	executed	digest
40	8	RETURNED_SLICE	360	160	840	446	10406148969939241199
41	8	RETURNED_SLICE	360	160	840	446	7272853799573871479
42	40	BOUNDED_PREFIX	120	6	30	17	8482350211749301811
42	72	BOUNDED_PREFIX	120	3	6	14	18065543301382739770
