tick	action_x	action_y	x	y
0	0	0	192	400
1	0	0	192	400
2	0	0	192	400
3	0	0	192	400
4	0	0	192	400
5	0	0	192	400
6	0	0	192	400
7	0	0	192	400
8	0	0	192	400
9	0	0	192	400
10	0	0	192	400
11	0	0	192	400
12	0	0	192	400
13	0	0	192	400
14	0	0	192	400
15	0	0	192	400
16	0	0	192	400
17	0	0	192	400
18	0	0	192	400
19	0	0	192	400
20	0	0	192	400
21	0	0	192	400
22	0	0	192	400
23	0	0	192	400
24	0	0	192	400
25	0	0	192	400
26	0	0	192	400
27	0	0	192	400
28	0	0	192	400
29	0	0	192	400
30	0	0	192	400
31	0	0	192	400
32	0	0	192	400
33	0	0	192	400
34	0	0	192	400
35	0	0	192	400
36	0	0	192	400
37	0	0	192	400
38	0	0	192	400
39	0	0	192	400
40	0	0	192	400
41	0	0	192	400
42	0	0	192	400
43	0	0	192	400
44	0	0	192	400
45	0	0	192	400
46	0	0	192	400
47	0	0	192	400
48	0	0	192	400
49	0	0	192	400
50	0	0	192	400
51	0	0	192	400
52	0	0	192	400
53	0	0	192	400
54	0	0	192	400
55	0	0	192	400
56	0	0	192	400
57	0	0	192	400
58	0	0	192	400
59	0	0	192	400
60	0	0	192	400
61	0	0	192	400
62	0	0	192	400
63	0	0	192	400
64	0	0	192	400
65	0	0	192	400
66	0	0	192	400
67	0	0	192	400
68	0	0	192	400
69	0	0	192	400
70	0	0	192	400
71	0	0	192	400
72	0	0	192	400
73	0	0	192	400
74	0	0	192	400
75	0	0	192	400
76	0	0	192	400
77	0	0	192	400
78	0	0	192	400
79	0	0	192	400
80	0	0	192	400
81	0	0	192	400
82	0	0	192	400
83	0	0	192	400
84	0	0	192	400
85	0	0	192	400
86	0	0	192	400
87	0	0	192	400
88	0	0	192	400
89	0	0	192	400
90	0	0	192	400
91	0	0	192	400
92	0	0	192	400
93	0	0	192	400
94	0	0	192	400
95	0	0	192	400
96	0	0	192	400
97	0	0	192	400
98	0	0	192	400
99	0	0	192	400
100	0	0	192	400
101	0	0	192	400
102	0	0	192	400
103	0	0	192	400
104	0	0	192	400
105	0	0	192	400
106	0	0	192	400
107	0	0	192	400
108	0	0	192	400
109	0	0	192	400
110	0	0	192	400
111	0	0	192	400
112	0	0	192	400
113	0	0	192	400
114	0	0	192	400
115	0	0	192	400
116	0	0	192	400
117	0	0	192	400
118	0	0	192	400
119	0	0	192	400
120	0	0	192	400
121	0	0	192	400
122	0	0	192	400
123	0	0	192	400
124	0	0	192	400
125	0	0	192	400
126	0	0	192	400
127	0	0	192	400
128	0	0	192	400
129	0	0	192	400
130	0	0	192	400
131	0	0	192	400
132	0	0	192	400
133	0	0	192	400
134	0	0	192	400
135	0	0	192	400
136	0	0	192	400
137	0	0	192	400
138	0	0	192	400
139	0	0	192	400
140	0	0	192	400
141	0	0	192	400
142	0	0	192	400
143	0	0	192	400
144	0	0	192	400
145	0	0	192	400
146	0	0	192	400
147	0	0	192	400
148	0	0	192	400
149	0	0	192	400
150	0	0	192	400
151	0	0	192	400
152	0	0	192	400
153	0	0	192	400
154	0	0	192	400
155	0	0	192	400
156	0	0	192	400
157	0	0	192	400
158	0	0	192	400
159	0	0	192	400
160	0	0	192	400
161	0	0	192	400
162	0	0	192	400
163	0	0	192	400
164	0	0	192	400
165	0	0	192	400
166	0	0	192	400
167	0	0	192	400
168	0	0	192	400
169	0	0	192	400
170	0	0	192	400
171	0	0	192	400
172	0	0	192	400
173	0	0	192	400
174	0	0	192	400
175	0	0	192	400
176	0	0	192	400
177	0	0	192	400
178	0	0	192	400
179	0	0	192	400
180	0	0	192	400
181	0	0	192	400
182	0	0	192	400
183	0	0	192	400
184	0	0	192	400
185	0	0	192	400
186	0	0	192	400
187	0	0	192	400
188	0	0	192	400
189	0	0	192	400
190	0	0	192	400
191	0	0	192	400
192	0	0	192	400
193	0	0	192	400
194	0	0	192	400
195	0	0	192	400
196	0	0	192	400
197	0	0	192	400
198	0	0	192	400
199	0	0	192	400
200	0	0	192	400
201	0	0	192	400
202	0	0	192	400
203	0	0	192	400
204	0	0	192	400
205	0	0	192	400
206	0	0	192	400
207	0	0	192	400
208	0	0	192	400
209	0	0	192	400
210	0	0	192	400
211	0	0	192	400
212	0	0	192	400
213	0	0	192	400
214	0	0	192	400
215	0	0	192	400
216	0	0	192	400
217	0	0	192	400
218	0	0	192	400
219	0	0	192	400
220	0	0	192	400
221	0	0	192	400
222	0	0	192	400
223	0	0	192	400
224	0	0	192	400
225	0	0	192	400
226	0	0	192	400
227	0	0	192	400
228	0	0	192	400
229	0	0	192	400
230	0	0	192	400
231	0	0	192	400
232	0	0	192	400
233	0	0	192	400
234	0	0	192	400
235	0	0	192	400
236	0	0	192	400
237	0	0	192	400
238	0	0	192	400
239	0	0	192	400
240	0	0	192	400
241	0	0	192	400
242	0	0	192	400
243	0	0	192	400
244	0	0	192	400
245	0	0	192	400
246	0	0	192	400
247	0	0	192	400
248	0	0	192	400
249	0	0	192	400
250	0	0	192	400
251	0	0	192	400
252	0	0	192	400
253	0	0	192	400
254	0	0	192	400
255	0	0	192	400
256	0	0	192	400
257	0	0	192	400
258	0	0	192	400
259	0	0	192	400
260	0	0	192	400
261	0	0	192	400
262	0	0	192	400
263	0	0	192	400
264	0	0	192	400
265	0	0	192	400
266	0	0	192	400
267	0	0	192	400
268	0	0	192	400
269	0	0	192	400
270	0	0	192	400
271	0	0	192	400
272	0	0	192	400
273	0	0	192	400
274	0	0	192	400
275	0	0	192	400
276	0	0	192	400
277	0	0	192	400
278	0	0	192	400
279	0	0	192	400
280	0	0	192	400
281	0	0	192	400
282	0	0	192	400
283	0	0	192	400
284	0	0	192	400
285	0	0	192	400
286	0	0	192	400
287	0	0	192	400
288	0	0	192	400
289	0	0	192	400
290	0	0	192	400
291	0	0	192	400
292	0	0	192	400
293	0	0	192	400
294	0	0	192	400
295	0	0	192	400
296	0	0	192	400
297	0	0	192	400
298	0	0	192	400
299	0	0	192	400
300	0	0	192	400
301	0	0	192	400
302	0	0	192	400
303	0	0	192	400
304	0	0	192	400
305	0	0	192	400
306	0	0	192	400
307	0	0	192	400
308	0	0	192	400
309	0	0	192	400
310	0	0	192	400
311	0	0	192	400
312	0	0	192	400
313	0	0	192	400
314	0	0	192	400
315	0	0	192	400
316	0	0	192	400
317	0	0	192	400
318	0	0	192	400
319	0	0	192	400
320	0	0	192	400
321	0	0	192	400
322	0	0	192	400
323	0	0	192	400
324	0	0	192	400
325	0	0	192	400
326	0	0	192	400
327	0	0	192	400
328	0	0	192	400
329	0	0	192	400
330	0	0	192	400
331	0	0	192	400
332	0	0	192	400
333	0	0	192	400
334	0	0	192	400
335	0	0	192	400
336	0	0	192	400
337	0	0	192	400
