tick	allocated_total	live	lethal	state_digest
0	21	21	0	15066980562339956865
1	21	21	0	16404108197703592842
2	21	21	0	1291287518503546636
3	21	21	0	1464623318713735943
4	21	21	0	2334707837228328993
5	21	21	0	7642622225091876038
6	21	21	0	13754852005882718908
7	21	21	0	18144201171587889963
8	21	21	0	17677599214437947953
9	42	42	21	12143503969025243122
10	42	42	21	13235717566349714876
11	42	42	21	14308763845997755048
12	42	42	21	16282075261745493069
13	42	42	21	12218637480201339263
14	42	42	21	9671083878689503680
15	42	42	21	4806511859388109292
16	42	42	21	16098114446891681859
17	42	42	21	3689936794653654674
18	63	63	42	15980106442654679393
19	63	63	42	15324682718002952348
20	63	63	42	5626621829004708880
21	63	63	42	11917126443524509383
22	63	63	42	4838472322079352039
23	63	63	42	13772217843880183253
24	63	63	42	9348851189273591374
25	63	63	42	5877954536221387806
26	63	63	42	13748687094935283837
27	84	84	63	4121579923355623558
28	84	84	63	12499141796474943838
29	84	84	63	414799176141373396
30	84	84	63	3135079109664783602
31	84	84	63	13482385859834503405
32	84	84	63	6155027657224629872
33	84	84	63	5282969376423299913
34	84	84	63	1351349158155716445
35	84	84	63	16482115236799563798
36	105	105	84	8651876864287888100
37	105	105	84	7875814390675275710
38	105	105	84	9501114916334355521
39	105	105	84	2323332856955955578
40	105	105	84	14353467352024573010
41	105	105	84	10948223967009661311
42	105	105	84	8217548948802203982
43	105	105	84	15171597521019799350
44	105	105	84	13352609087475716402
45	126	126	105	12766524775408083734
46	126	126	105	8499553303881111604
47	126	126	105	8139202329521546249
48	126	126	105	6681572196065728811
49	126	126	105	9457167173758693721
50	126	126	105	12803276168637438897
51	126	126	105	18319210582173060763
52	126	126	105	6511271374993452172
53	126	126	105	14538678245663092878
54	147	147	126	14436450689400225394
55	147	147	126	5536076526197736757
56	147	147	126	7338607272389307306
57	147	147	126	16672558466099137982
58	147	147	126	12801085942046298585
59	147	147	126	7290367252847811265
60	147	147	126	312852849284343149
61	147	147	126	12224401580297915511
62	147	147	126	2727867608758761509
63	168	168	147	12145171164582324909
64	168	166	145	327234746640945529
65	168	166	145	7667326402360989146
66	168	166	145	9284672931357466023
67	168	166	145	10361248703875920672
68	168	166	145	5129844290916604058
69	168	166	145	332456130402984028
70	168	166	145	17829713582911104416
71	168	165	144	2321667415204484284
72	189	186	165	2091203311654647354
73	189	186	165	8178020546587116920
74	189	186	165	15896195423849322661
75	189	185	164	6104504101500426091
76	189	185	164	17013747124052221063
77	189	185	164	14976063725155415641
78	189	184	163	16817952145970506262
79	189	184	163	12044168142695859404
80	189	184	163	3138014021460165887
81	210	205	184	7325820493230503988
82	210	205	184	17790044052749612017
83	210	205	184	4113822847534054653
84	210	205	184	15829693107786761990
85	210	205	184	13012220841188156343
86	210	205	184	13832828562160106889
87	210	204	183	14780842914560485994
88	210	203	182	12345737683217628291
89	210	203	182	9278100295842955672
90	231	224	203	11748561919668944260
91	231	224	203	5009800237461496242
92	231	224	203	446755461046458365
93	231	224	203	8999021607845665402
94	231	223	202	2704898945583455694
95	231	223	202	16007498704934431024
96	231	222	201	11957712935322272703
97	231	222	201	7035105126122574732
98	231	220	199	39204160173218568
99	252	241	220	16891546299680568400
100	252	241	220	4931265363936690412
101	252	241	220	8092404938182854581
102	252	240	219	6015684142796841909
103	252	239	218	4639576470651089690
104	252	239	218	2247674709575433350
105	252	237	216	1945844248695619479
106	252	237	216	4030949109007255189
107	252	237	216	9382473816496577811
108	273	258	237	10366734134207686496
109	273	258	237	3172337997419513441
110	273	257	236	15514804397970416282
111	273	256	235	9435197706426533251
112	273	256	235	6592376475032988655
113	273	256	235	9324471317177255904
114	273	256	235	544684481087567245
115	273	253	232	7394528712167467764
116	273	251	230	17397157115960149677
117	294	272	251	11691689191633435540
118	294	269	248	8120008455474763402
119	294	267	246	5166579449188578700
120	294	265	244	9301651600788118108
121	294	264	243	13564530157746842948
122	294	263	242	10646138931600714532
123	294	262	241	983300033051469059
124	294	262	241	17052183261940220600
125	294	262	241	9504945650438013255
126	315	281	260	14322532258744102764
127	315	278	257	7341927560873226106
128	315	277	256	3289636851476880523
129	315	277	256	15968886149155858980
130	315	274	253	6277021638573255037
131	315	274	253	10590435589698095655
132	315	274	253	12425916764703758288
133	315	274	253	17632227326118105376
134	315	272	251	15836273727820746654
135	336	293	272	2517289253664001082
136	336	292	271	16536296245908474077
137	336	292	271	10534361037737607177
138	336	290	269	17011096630872820632
139	336	290	269	7322617075285725602
140	336	289	268	6224078951339975532
141	336	288	267	4258343203987701489
