tick	allocated_total	live	lethal	state_digest
483	840	331	331	6950951351227713549
484	840	330	330	10064265133440637966
485	840	329	329	702383662891057621
486	840	329	329	3280908831432675324
487	840	329	329	3586130058682345092
488	840	329	329	5000354823105159705
489	840	327	327	16907947761663056432
490	840	325	325	11710542913784895855
491	840	323	323	9267306576243951961
492	840	320	320	1420390053462558288
493	840	320	320	8624075051751175968
494	840	319	319	6677619005678560071
495	840	318	318	4245026790696695005
496	840	316	316	15101785373441811186
497	840	316	316	4983683713596184915
498	840	316	316	13680977573601028780
499	840	314	314	8084967776545070343
500	840	310	310	5419269259690605507
501	840	309	309	8470475988610388832
502	840	309	309	537649956467946449
503	840	309	309	13605371204352380274
504	840	309	309	10817803532133222088
505	840	308	308	7410465058881908193
506	840	308	308	8880386973828390462
507	840	306	306	10285020615765842022
508	840	303	303	11918658483218294325
509	840	302	302	2145895672101533674
510	840	302	302	5861735642223067798
511	840	301	301	14541000252787112051
512	840	298	298	15149828193312496246
513	840	298	298	3260916113806266467
514	840	297	297	10457074999197144923
515	840	297	297	677889060724559808
516	840	297	297	8465009772284636572
517	840	297	297	17144409411261946815
518	840	297	297	11935424404651904633
519	840	297	297	7105128320640166358
520	840	297	297	10152893543998600391
521	840	293	293	2486252698536182322
522	840	291	291	18249444444804302141
523	840	291	291	12749689700915659398
524	840	289	289	14907510476942065254
525	840	288	288	12099806268751974246
526	840	287	287	17299084081618296935
527	840	284	284	14531189682344586758
528	840	282	282	18234674923302321930
529	840	282	282	4261341646953425375
530	840	279	279	2924096995597825169
531	840	277	277	14508326063079806675
532	840	276	276	3805922696427250570
533	840	275	275	7185663357257440766
534	840	274	274	9769678397102594188
535	840	272	272	13764530941193402443
536	840	271	271	6022755576363454478
537	840	271	271	6484150136790068976
538	840	270	270	4656712298305958049
539	840	268	268	7014347122356089765
540	840	265	265	17387067920211706179
541	840	263	263	17282059336370764247
542	840	263	263	13965710067433400378
543	840	263	263	3744133289365304868
544	840	262	262	5570201942921601351
545	840	260	260	6617222692620985068
546	840	256	256	3145383671797392219
547	840	256	256	5565245519967422869
548	840	255	255	5223471303021797785
549	840	254	254	8050291368076274888
550	840	253	253	7571226018547869058
551	840	253	253	578695810282127585
552	840	251	251	3586106473764946044
553	840	248	248	5723178471167405159
554	840	247	247	7546678207619820519
